candidate_id,strategy,bundle_size_target,n_bundles,avg_qualifiers_shown,avg_qualifier_time_seconds,avg_respondents_used,p95_respondents_used,prob_all_categories_hit_target,avg_min_completes,avg_mean_interview_seconds,avg_p95_interview_seconds,avg_surveys_per_respondent,avg_share_2plus_surveys,avg_share_3plus_surveys,avg_max_exposure_deviation
0,random,25,4.0,19.25,28.875,8104.333333333333,8635.3,1.0,200.0,236.51295931722964,475.40431043843273,1.9064942626533867,0.5024873728697533,0.4628661808488417,0.007849742649048851
6,random,25,4.0,19.25,28.875,8104.333333333333,8635.3,1.0,200.0,236.51295931722964,475.17609184840694,1.9064942626533867,0.5039000153071228,0.4465742917034647,0.007849742649048851
10,random,25,4.0,19.25,28.875,8104.333333333333,8635.3,1.0,200.0,236.51295931722964,474.80742070660926,1.9064942626533867,0.4940362171706527,0.45823179176809076,0.007849742649048851
11,random,25,4.0,19.25,28.875,8104.333333333333,8635.3,1.0,200.0,236.51295931722964,474.6302099012537,1.9064942626533867,0.49891886619992515,0.46125793514669083,0.007849742649048851
20,difficulty_balanced,25,4.0,19.25,28.875,8104.333333333333,8635.3,1.0,200.0,236.30969143419384,473.55699785505425,1.9064942626533867,0.5011415577026308,0.4618977210738331,0.007849742649048851
21,difficulty_balanced,25,4.0,19.25,28.875,8104.333333333333,8635.3,1.0,200.0,236.30969143419384,473.55699785505425,1.9064942626533867,0.5011415577026308,0.4618977210738331,0.007849742649048851
22,difficulty_balanced,25,4.0,19.25,28.875,8104.333333333333,8635.3,1.0,200.0,236.30969143419384,473.55699785505425,1.9064942626533867,0.5011415577026308,0.4618977210738331,0.007849742649048851
23,difficulty_balanced,25,4.0,19.25,28.875,8104.333333333333,8635.3,1.0,200.0,236.30969143419384,473.55699785505425,1.9064942626533867,0.5011415577026308,0.4618977210738331,0.007849742649048851
24,difficulty_balanced,25,4.0,19.25,28.875,8104.333333333333,8635.3,1.0,200.0,236.30969143419384,473.55699785505425,1.9064942626533867,0.5011415577026308,0.4618977210738331,0.007849742649048851
33,similarity_clustered,25,4.0,19.25,28.875,8104.333333333333,8635.3,1.0,200.0,236.51295931722964,475.39139761729166,1.9064942626533867,0.4912210595484838,0.4509006513883471,0.007849742649048851
35,hybrid_similarity_balanced,25,4.0,19.25,28.875,8104.333333333333,8635.3,1.0,200.0,236.31097977473598,474.81359393943563,1.9064942626533867,0.4992640220710148,0.4611759126740764,0.007849742649048851
36,hybrid_similarity_balanced,25,4.0,19.25,28.875,8104.333333333333,8635.3,1.0,200.0,236.31097977473598,474.0066440591822,1.9064942626533867,0.49694169119759785,0.45767565225512646,0.007849742649048851
37,hybrid_similarity_balanced,25,4.0,19.25,28.875,8104.333333333333,8635.3,1.0,200.0,236.2901564564704,474.7891953182407,1.9064942626533867,0.4999754168090877,0.4564916587659665,0.007849742649048851
38,hybrid_similarity_balanced,25,4.0,19.25,28.875,8104.333333333333,8635.3,1.0,200.0,236.31097977473598,474.47571948787663,1.9064942626533867,0.5004520898194992,0.45478495255830326,0.007849742649048851
39,hybrid_similarity_balanced,25,4.0,19.25,28.875,8104.333333333333,8635.3,1.0,200.0,236.31097977473598,474.18245702823623,1.9064942626533867,0.49792724999318244,0.44684183206405953,0.007849742649048851
40,hybrid_similarity_balanced,25,4.0,19.25,28.875,8104.333333333333,8635.3,1.0,200.0,236.31097977473598,474.4399694538675,1.9064942626533867,0.4969478058528188,0.43996051088558913,0.007849742649048851
41,hybrid_similarity_balanced,25,4.0,19.25,28.875,8104.333333333333,8635.3,1.0,200.0,236.33648471035985,473.5053310440853,1.9064942626533867,0.4980965150229906,0.45811737364934507,0.007849742649048851
43,hybrid_similarity_balanced,25,4.0,19.25,28.875,8104.333333333333,8635.3,1.0,200.0,236.30243313575127,474.090659409645,1.9064942626533867,0.4973449683703519,0.4543404790689161,0.007849742649048851
44,hybrid_similarity_balanced,25,4.0,19.25,28.875,8104.333333333333,8635.3,1.0,200.0,236.31097977473598,474.18245702823623,1.9064942626533867,0.49792724999318244,0.44684183206405953,0.007849742649048851
4,random,25,4.0,19.25,28.875,8331.333333333334,9231.7,1.0,200.0,231.78507372429377,473.4578658649698,1.8625833121093844,0.4977452490798912,0.4621166095254208,0.007965156632760345
8,random,25,4.0,19.25,28.875,8331.333333333334,9231.7,1.0,200.0,231.78507372429377,475.09503661911003,1.8625833121093844,0.49088159352181027,0.4577769110741167,0.007965156632760345
12,random,25,4.0,19.25,28.875,8331.333333333334,9231.7,1.0,200.0,231.78507372429377,474.5244168378413,1.8625833121093844,0.49134285832806385,0.4505221155846851,0.007965156632760345
13,random,25,4.0,19.25,28.875,8331.333333333334,9231.7,1.0,200.0,231.78507372429377,474.4545193883823,1.8625833121093844,0.5004557050369502,0.4583917956571928,0.007965156632760345
18,random,25,4.0,19.25,28.875,8331.333333333334,9231.7,1.0,200.0,231.78507372429377,474.21094055694994,1.8625833121093844,0.5036306460857974,0.45430653580355057,0.007965156632760345
19,random,25,4.0,19.25,28.875,8331.333333333334,9231.7,1.0,200.0,231.78507372429377,475.6868126685731,1.8625833121093844,0.4902643740702395,0.4514017841906722,0.007965156632760345
42,hybrid_similarity_balanced,25,4.0,19.25,28.875,8331.333333333334,9231.7,1.0,200.0,231.51996116120267,473.2632256729994,1.8625833121093844,0.48629220785539456,0.44418423802974677,0.007965156632760345
17,random,25,4.0,19.25,28.875,8565.333333333334,8778.0,1.0,200.0,224.82765022035252,474.54341616423335,1.7989416572785268,0.46394402305301635,0.4393108580868818,0.007655473284569448
1,random,25,4.0,19.25,28.875,8568.333333333334,8855.4,1.0,200.0,224.79932650160637,474.63260239956435,1.7986746952320047,0.4803396778812799,0.4380714495135354,0.008110203236383066
2,random,25,4.0,19.25,28.875,8568.333333333334,8855.4,1.0,200.0,224.79932650160637,474.7930497768102,1.7986746952320047,0.47995022955940575,0.43493726014792217,0.008110203236383066
3,random,25,4.0,19.25,28.875,8568.333333333334,8855.4,1.0,200.0,224.79932650160637,474.4343497629743,1.7986746952320047,0.4789114834720254,0.435343390619922,0.008110203236383066
5,random,25,4.0,19.25,28.875,8568.333333333334,8855.4,1.0,200.0,224.79932650160637,474.7730949014658,1.7986746952320047,0.4648617633071242,0.4359091054313892,0.008110203236383066
7,random,25,4.0,19.25,28.875,8568.333333333334,8855.4,1.0,200.0,224.79932650160637,474.4391513164155,1.7986746952320047,0.4750727175340852,0.4329345523899775,0.008110203236383066
9,random,25,4.0,19.25,28.875,8568.333333333334,8855.4,1.0,200.0,224.79932650160637,474.2887439846527,1.7986746952320047,0.48072604994953033,0.44330703854098347,0.008110203236383066
14,random,25,4.0,19.25,28.875,8568.333333333334,8855.4,1.0,200.0,224.79932650160637,474.8498856241349,1.7986746952320047,0.47921001484806974,0.4338900340682767,0.008110203236383066
15,random,25,4.0,19.25,28.875,8568.333333333334,8855.4,1.0,200.0,224.79932650160637,474.3018737620441,1.7986746952320047,0.46602722155396165,0.43140886791665256,0.008110203236383066
16,random,25,4.0,19.25,28.875,8568.333333333334,8855.4,1.0,200.0,224.79932650160637,474.821987421019,1.7986746952320047,0.4735812836797222,0.4333425135413798,0.008110203236383066
25,similarity_clustered,25,4.0,19.25,28.875,8568.333333333334,8855.4,1.0,200.0,224.79932650160637,474.88811005756725,1.7986746952320047,0.46632270830583994,0.43361421742058187,0.008110203236383066
26,similarity_clustered,25,4.0,19.25,28.875,8568.333333333334,8855.4,1.0,200.0,224.79932650160637,475.12868208496366,1.7986746952320047,0.46590359775307233,0.4328705187803357,0.008110203236383066
27,similarity_clustered,25,4.0,19.25,28.875,8568.333333333334,8855.4,1.0,200.0,224.79932650160637,475.1344725219533,1.7986746952320047,0.4653097977655974,0.4334754439592882,0.008110203236383066
28,similarity_clustered,25,4.0,19.25,28.875,8568.333333333334,8855.4,1.0,200.0,224.79932650160637,475.0259977505775,1.7986746952320047,0.4678101622564405,0.42763757495210003,0.008110203236383066
29,similarity_clustered,25,4.0,19.25,28.875,8568.333333333334,8855.4,1.0,200.0,224.79932650160637,475.12868208496366,1.7986746952320047,0.46590359775307233,0.4328705187803357,0.008110203236383066
30,similarity_clustered,25,4.0,19.25,28.875,8568.333333333334,8855.4,1.0,200.0,224.79932650160637,474.9637529302854,1.7986746952320047,0.4713784261549984,0.4361816034751247,0.008110203236383066
31,similarity_clustered,25,4.0,19.25,28.875,8568.333333333334,8855.4,1.0,200.0,224.79932650160637,475.01099179440644,1.7986746952320047,0.46574055369458267,0.43279398070950187,0.008110203236383066
32,similarity_clustered,25,4.0,19.25,28.875,8568.333333333334,8855.4,1.0,200.0,224.79932650160637,475.0259977505775,1.7986746952320047,0.4678101622564405,0.42763757495210003,0.008110203236383066
34,similarity_clustered,25,4.0,19.25,28.875,8568.333333333334,8855.4,1.0,200.0,224.79932650160637,474.51261078589596,1.7986746952320047,0.4661322079109252,0.43282226367068083,0.008110203236383066
